[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 10:59:20] [HB] frames_in=1859 frames_proc=85 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:25] [HB] frames_in=1883 frames_proc=86 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:30] [HB] frames_in=1901 frames_proc=87 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:35] [HB] frames_in=1901 frames_proc=87 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:40] [HB] frames_in=1919 frames_proc=88 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:45] [HB] frames_in=1943 frames_proc=89 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:50] [HB] frames_in=1961 frames_proc=90 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:55] [HB] frames_in=1961 frames_proc=90 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:00] [HB] frames_in=1979 frames_proc=91 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:05] [HB] frames_in=2003 frames_proc=92 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:10] [HB] frames_in=2021 frames_proc=93 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:15] [HB] frames_in=2021 frames_proc=93 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:20] [HB] frames_in=2039 frames_proc=94 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:25] [HB] frames_in=2057 frames_proc=95 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:30] [HB] frames_in=2081 frames_proc=96 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:35] [HB] frames_in=2081 frames_proc=96 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:40] [HB] frames_in=2099 frames_proc=97 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:45] [HB] frames_in=2123 frames_proc=98 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:00:50] [HB] frames_in=2123 frames_proc=98 events_out=1 ingest_alive=1/1 worker_alive=1/1
